263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
263.8511,6967.4062,0.329037,-1.0,271.46045,263.22968,19803.75,0.0,-21522.375,101498.22,67491.31,318.83057
